checksum1,checksum2,join_count,join_threads,join_time,max_key,nr,ns,partition_threads,partition_time,time_sec
3120620188374471864,4973595021879194218,1525849754,1,0.000000,65536,10000000,10000000,1,0.000000,0.526410
16178780764414249519,11962576331923893725,381484227,1,0.000000,262144,10000000,10000000,1,0.000000,0.584184
6145254653632685119,1382805155497999100,95375885,1,0.000000,1048576,10000000,10000000,1,0.000000,0.673711
10221050253338831582,11701097440818576254,1525839945,1,0.000000,65536,10000000,10000000,1,0.000000,0.530507
1146105059880243399,7917076528911600348,381398703,1,0.000000,262144,10000000,10000000,1,0.000000,0.581728
2628581726457861796,9391157856877132928,95345650,1,0.000000,1048576,10000000,10000000,1,0.000000,0.675259
11257016047991432239,7863952017211535898,1525871659,1,0.000000,65536,10000000,10000000,1,0.000000,0.532620
6190259941947517191,16756848202158815542,381450652,1,0.000000,262144,10000000,10000000,1,0.000000,0.564979
953489655874280954,16328874843439459505,95370284,1,0.000000,1048576,10000000,10000000,1,0.000000,0.680149
